#,句子,模型_intent,模型_skill,模型_slots,延迟_ms,预期_intent,预期_skill,预期_slots,判定,失败原因,真实意图(你填)
1,今天天气真好啊,chat,,,949,chat,,,PASS,,
2,你觉得人为什么会焦虑,chat,,,1554,chat,,,PASS,,
3,讲个冷笑话听听,chat,,,1125,chat,,,PASS,,
4,我饿了,chat,,,833,chat,,,PASS,,
5,什么是量子纠缠,chat,,,2766,chat,,,PASS,,
6,帮我想个周末计划,chat,,,982,chat,,,PASS,,
7,最近睡眠不太好，有什么建议,chat,,,1444,chat,,,PASS,,
8,这首歌挺好听的,chat,,,630,chat,,,PASS,,
9,放首歌,action,play_music,"query:"""", shuffle:true",1344,action,play_music,,PASS,,
10,播放周杰伦的夜曲,action,play_music,"query:""夜曲"", shuffle:false",1415,action,play_music,,PASS,,
11,暂停,action,music_control,"action:""pause""",1238,action,music_control,"action:""pause""",PASS,,
12,继续播放,action,music_control,"action:""pause""",1248,action,music_control,"action:""pause""",PASS,,
13,循环播放,action,music_control,"action:""repeat"", value:""all""",1426,action,music_control,"action:""repeat""",PASS,,
14,放第三首,action,play_music,"query:""第三首"", shuffle:false",1441,action,play_music,,PASS,,
15,随便放点轻音乐,action,play_music,"query:""轻音乐"", shuffle:true",1413,action,play_music,,PASS,,
16,声音大一点,action,music_control,"action:""volume"", value:80",1467,action,music_control,"action:""volume""",PASS,,
17,开灯,action,smart_device,"action:""on"", device:""灯""",1448,action,smart_device,"action:""on""",PASS,,
18,关掉客厅的灯,action,smart_device,"action:""off"", device:""客厅 灯""",1531,action,smart_device,"action:""off""",PASS,,
19,把卧室灯调暗一点,unclear,,,862,chat,,,PASS,,
20,开空气净化器,action,smart_device,"action:""on"", device:""空气净化器""",1503,action,smart_device,"action:""on""",PASS,,
21,把灯光调到暖色,chat,,,869,chat,,,PASS,,
22,关掉所有灯,action,smart_device,"action:""off"", device:""全部""",1441,action,smart_device,"action:""off""",PASS,,
23,把风扇关掉,action,smart_device,"action:""off"", device:""风扇""",1449,action,smart_device,"action:""off""",PASS,,
24,我心情不好，想听首歌,action,play_music,"query:"""", shuffle:true",1330,action,play_music,,PASS,,
25,好烦，把它关了吧,unclear,,,866,unclear,,,PASS,,
26,灯光能不能再柔和点,chat,,,959,chat,,,PASS,,
27,帮我订明天去北京的机票,chat,,,721,chat,,,PASS,,
28,那个…放个…算了,unclear,,,867,unclear,,,PASS,,
29,帮我…,unclear,,,787,unclear,,,PASS,,
30,嗯,chat,,,752,chat,,,PASS,,
31,你说呢,chat,,,613,chat,,,PASS,,
32,把空调调到 26 度,chat,,,692,chat,,,PASS,,
33,给张三发个微信说我迟到了,chat,,,809,chat,,,PASS,,
34,帮我打车去机场,chat,,,728,chat,,,PASS,,
35,设个 7 点的闹钟,chat,,,779,chat,,,PASS,,
36,现在几点,chat,,,934,chat,,,PASS,,
37,今天是几号,chat,,,894,chat,,,PASS,,
38,纽约现在的天气怎么样,chat,,,777,chat,,,PASS,,
39,明天会下雨吗,chat,,,722,chat,,,PASS,,
40,美股今天怎么样,chat,,,805,chat,,,PASS,,
41,播放,unclear,,,718,unclear,,,PASS,,
42,开,unclear,,,693,unclear,,,PASS,,
43,把音乐关了,action,music_control,"action:""stop""",1240,action,music_control,"action:""stop""",PASS,,
44,开卧室灯,action,smart_device,"action:""on"", device:""卧室 灯""",1555,action,smart_device,"action:""on""",PASS,,
45,你叫什么名字,chat,,,812,chat,,,PASS,,
46,你是什么模型,chat,,,1189,chat,,,PASS,,
47,介绍一下你自己,chat,,,1722,chat,,,PASS,,
48,我今天心情有点低落,action,play_music,"query:"""", shuffle:true",1330,chat,,,FAIL,intent=action want=chat,
49,最近工作压力好大,chat,,,897,chat,,,PASS,,
50,你会做饭吗,chat,,,951,chat,,,PASS,,
51,给我推荐一本书,chat,,,773,chat,,,PASS,,
52,人生的意义是什么,chat,,,1063,chat,,,PASS,,
53,我该不该换工作,chat,,,1440,chat,,,PASS,,
54,解释一下深度学习,chat,,,1935,chat,,,PASS,,
55,来首周杰伦,action,play_music,"query:""周杰伦"", shuffle:true",1456,action,play_music,,PASS,,
56,播放一下最近的新歌,action,play_music,"query:""最近的新歌"", shuffle:true",1442,action,play_music,,PASS,,
57,放点安静的音乐,action,play_music,"query:""安静的音乐"", shuffle:true",1451,action,play_music,,PASS,,
58,放一首摇滚乐,action,play_music,"query:""摇滚乐"", shuffle:true",1442,action,play_music,,PASS,,
59,切到下一首,action,music_control,"action:""next""",1244,action,music_control,"action:""next""",PASS,,
60,跳过这首,action,music_control,"action:""next""",1265,action,music_control,"action:""next""",PASS,,
61,回到上一首,action,music_control,"action:""previous""",1266,action,music_control,"action:""previous""",PASS,,
62,音量调到 50,action,music_control,"action:""volume"", value:50",1457,action,music_control,"action:""volume""",PASS,,
63,静音,action,music_control,"action:""volume"", value:0",1430,action,music_control,"action:""volume""",PASS,,
64,放大声点,action,music_control,"action:""volume"", value:80",1471,action,music_control,"action:""volume""",PASS,,
65,单曲循环这首,action,music_control,"action:""repeat"", value:""one""",1423,action,music_control,"action:""repeat""",PASS,,
66,取消循环,action,music_control,"action:""repeat"", value:""off""",1423,action,music_control,"action:""repeat""",PASS,,
67,随机播放,action,music_control,"action:""shuffle"", value:true",1391,action,music_control,"action:""shuffle""",PASS,,
68,按顺序播放,action,music_control,"action:""shuffle"", value:false",1410,action,music_control,"action:""shuffle""",PASS,,
69,停止播放,action,music_control,"action:""stop""",1246,action,music_control,"action:""stop""",PASS,,
